"export-plot data (NetLogo 6.2.1)"
"HANDY_ABM.nlogo"
"06/09/2022 15:42:39:877 -0500"

"MODEL SETTINGS"
"movement","depletion-factor","min-consumption","regeneration-rate-of-nature","inequality--factor","random-location","nature's-capacity","number-of-elites","sustenance-cost","number-of-commoners"
"false","6.6E-6","0.005","0.01","0","false","100","0","5.0E-4","100"

"""Population with time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","2190","0","69600","true","""Elites""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Commoners""","true","0","1","13","1960"
"""Elites""","true","0","1","44","1960"

"""Commoners""",,,,"""Elites"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","100","13","true","0","0","44","true"
"1","98","13","true","1","0","44","true"
"2","93","13","true","2","0","44","true"
"3","92","13","true","3","0","44","true"
"4","93","13","true","4","0","44","true"
"5","94","13","true","5","0","44","true"
"6","99","13","true","6","0","44","true"
"7","96","13","true","7","0","44","true"
"8","97","13","true","8","0","44","true"
"9","104","13","true","9","0","44","true"
"10","103","13","true","10","0","44","true"
"11","103","13","true","11","0","44","true"
"12","104","13","true","12","0","44","true"
"13","106","13","true","13","0","44","true"
"14","109","13","true","14","0","44","true"
"15","106","13","true","15","0","44","true"
"16","111","13","true","16","0","44","true"
"17","113","13","true","17","0","44","true"
"18","113","13","true","18","0","44","true"
"19","119","13","true","19","0","44","true"
"20","122","13","true","20","0","44","true"
"21","124","13","true","21","0","44","true"
"22","126","13","true","22","0","44","true"
"23","127","13","true","23","0","44","true"
"24","126","13","true","24","0","44","true"
"25","127","13","true","25","0","44","true"
"26","135","13","true","26","0","44","true"
"27","136","13","true","27","0","44","true"
"28","144","13","true","28","0","44","true"
"29","144","13","true","29","0","44","true"
"30","147","13","true","30","0","44","true"
"31","150","13","true","31","0","44","true"
"32","150","13","true","32","0","44","true"
"33","151","13","true","33","0","44","true"
"34","152","13","true","34","0","44","true"
"35","154","13","true","35","0","44","true"
"36","154","13","true","36","0","44","true"
"37","151","13","true","37","0","44","true"
"38","151","13","true","38","0","44","true"
"39","160","13","true","39","0","44","true"
"40","165","13","true","40","0","44","true"
"41","166","13","true","41","0","44","true"
"42","168","13","true","42","0","44","true"
"43","172","13","true","43","0","44","true"
"44","173","13","true","44","0","44","true"
"45","181","13","true","45","0","44","true"
"46","185","13","true","46","0","44","true"
"47","187","13","true","47","0","44","true"
"48","190","13","true","48","0","44","true"
"49","196","13","true","49","0","44","true"
"50","204","13","true","50","0","44","true"
"51","208","13","true","51","0","44","true"
"52","210","13","true","52","0","44","true"
"53","211","13","true","53","0","44","true"
"54","218","13","true","54","0","44","true"
"55","226","13","true","55","0","44","true"
"56","231","13","true","56","0","44","true"
"57","235","13","true","57","0","44","true"
"58","244","13","true","58","0","44","true"
"59","246","13","true","59","0","44","true"
"60","251","13","true","60","0","44","true"
"61","257","13","true","61","0","44","true"
"62","263","13","true","62","0","44","true"
"63","267","13","true","63","0","44","true"
"64","277","13","true","64","0","44","true"
"65","285","13","true","65","0","44","true"
"66","289","13","true","66","0","44","true"
"67","296","13","true","67","0","44","true"
"68","303","13","true","68","0","44","true"
"69","310","13","true","69","0","44","true"
"70","317","13","true","70","0","44","true"
"71","326","13","true","71","0","44","true"
"72","331","13","true","72","0","44","true"
"73","338","13","true","73","0","44","true"
"74","337","13","true","74","0","44","true"
"75","346","13","true","75","0","44","true"
"76","355","13","true","76","0","44","true"
"77","359","13","true","77","0","44","true"
"78","367","13","true","78","0","44","true"
"79","377","13","true","79","0","44","true"
"80","386","13","true","80","0","44","true"
"81","394","13","true","81","0","44","true"
"82","401","13","true","82","0","44","true"
"83","410","13","true","83","0","44","true"
"84","410","13","true","84","0","44","true"
