"export-plot data (NetLogo 6.2.1)"
"HANDY_ABM_intelligence.nlogo"
"06/09/2022 15:28:59:023 -0500"

"MODEL SETTINGS"
"depletion-factor","min-consumption","intelligence","radius","regeneration-rate-of-nature","inequality--factor","random-location","number-of-elites","sustenance-cost","nature's-capacity","number-of-commoners"
"1.0E-4","0.005","true","10","0.01","0","true","0","5.0E-4","4","100"

"""Population with time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","3430","0","1240","true","""Elites""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Commoners""","true","0","1","13","3163"
"""Elites""","true","0","1","44","3163"

"""Commoners""",,,,"""Elites"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","100","13","true","0","0","44","true"
"1","96","13","true","1","0","44","true"
"2","92","13","true","2","0","44","true"
"3","91","13","true","3","0","44","true"
"4","90","13","true","4","0","44","true"
"5","89","13","true","5","0","44","true"
"6","91","13","true","6","0","44","true"
"7","91","13","true","7","0","44","true"
"8","89","13","true","8","0","44","true"
"9","87","13","true","9","0","44","true"
"10","85","13","true","10","0","44","true"
"11","80","13","true","11","0","44","true"
"12","81","13","true","12","0","44","true"
"13","84","13","true","13","0","44","true"
"14","82","13","true","14","0","44","true"
"15","84","13","true","15","0","44","true"
"16","84","13","true","16","0","44","true"
"17","85","13","true","17","0","44","true"
"18","84","13","true","18","0","44","true"
"19","83","13","true","19","0","44","true"
"20","82","13","true","20","0","44","true"
"21","83","13","true","21","0","44","true"
"22","81","13","true","22","0","44","true"
"23","80","13","true","23","0","44","true"
"24","80","13","true","24","0","44","true"
"25","83","13","true","25","0","44","true"
"26","87","13","true","26","0","44","true"
"27","83","13","true","27","0","44","true"
"28","82","13","true","28","0","44","true"
"29","85","13","true","29","0","44","true"
"30","85","13","true","30","0","44","true"
"31","90","13","true","31","0","44","true"
"32","90","13","true","32","0","44","true"
"33","93","13","true","33","0","44","true"
"34","95","13","true","34","0","44","true"
"35","93","13","true","35","0","44","true"
"36","91","13","true","36","0","44","true"
"37","91","13","true","37","0","44","true"
"38","92","13","true","38","0","44","true"
"39","93","13","true","39","0","44","true"
"40","94","13","true","40","0","44","true"
"41","92","13","true","41","0","44","true"
"42","94","13","true","42","0","44","true"
"43","90","13","true","43","0","44","true"
"44","89","13","true","44","0","44","true"
"45","88","13","true","45","0","44","true"
"46","89","13","true","46","0","44","true"
"47","91","13","true","47","0","44","true"
"48","93","13","true","48","0","44","true"
"49","97","13","true","49","0","44","true"
"50","93","13","true","50","0","44","true"
"51","96","13","true","51","0","44","true"
"52","97","13","true","52","0","44","true"
"53","96","13","true","53","0","44","true"
"54","98","13","true","54","0","44","true"
"55","100","13","true","55","0","44","true"
"56","99","13","true","56","0","44","true"
"57","96","13","true","57","0","44","true"
"58","100","13","true","58","0","44","true"
"59","98","13","true","59","0","44","true"
"60","96","13","true","60","0","44","true"
"61","97","13","true","61","0","44","true"
"62","98","13","true","62","0","44","true"
"63","99","13","true","63","0","44","true"
"64","98","13","true","64","0","44","true"
"65","95","13","true","65","0","44","true"
"66","95","13","true","66","0","44","true"
"67","95","13","true","67","0","44","true"
"68","98","13","true","68","0","44","true"
"69","94","13","true","69","0","44","true"
"70","96","13","true","70","0","44","true"
"71","98","13","true","71","0","44","true"
"72","99","13","true","72","0","44","true"
"73","101","13","true","73","0","44","true"
"74","101","13","true","74","0","44","true"
"75","103","13","true","75","0","44","true"
"76","107","13","true","76","0","44","true"
"77","106","13","true","77","0","44","true"
"78","107","13","true","78","0","44","true"
"79","108","13","true","79","0","44","true"
"80","107","13","true","80","0","44","true"
"81","106","13","true","81","0","44","true"
"82","105","13","true","82","0","44","true"
"83","104","13","true","83","0","44","true"
"84","106","13","true","84","0","44","true"
"85","108","13","true","85","0","44","true"
"86","112","13","true","86","0","44","true"
"87","115","13","true","87","0","44","true"
"88","110","13","true","88","0","44","true"
"89","108","13","true","89","0","44","true"
"90","110","13","true","90","0","44","true"
"91","113","13","true","91","0","44","true"
"92","115","13","true","92","0","44","true"
"93","116","13","true","93","0","44","true"
"94","122","13","true","94","0","44","true"
"95","123","13","true","95","0","44","true"
"96","125","13","true","96","0","44","true"
"97","127","13","true","97","0","44","true"
"98","125","13","true","98","0","44","true"
"99","126","13","true","99","0","44","true"
"100","129","13","true","100","0","44","true"
"101","131","13","true","101","0","44","true"
"102","127","13","true","102","0","44","true"
"103","132","13","true","103","0","44","true"
"104","129","13","true","104","0","44","true"
"105","129","13","true","105","0","44","true"
"106","130","13","true","106","0","44","true"
"107","127","13","true","107","0","44","true"
"108","126","13","true","108","0","44","true"
"109","129","13","true","109","0","44","true"
"110","131","13","true","110","0","44","true"
"111","133","13","true","111","0","44","true"
"112","137","13","true","112","0","44","true"
"113","139","13","true","113","0","44","true"
"114","140","13","true","114","0","44","true"
"115","138","13","true","115","0","44","true"
"116","136","13","true","116","0","44","true"
"117","134","13","true","117","0","44","true"
"118","134","13","true","118","0","44","true"
"119","131","13","true","119","0","44","true"
"120","132","13","true","120","0","44","true"
"121","135","13","true","121","0","44","true"
"122","134","13","true","122","0","44","true"
"123","137","13","true","123","0","44","true"
"124","139","13","true","124","0","44","true"
"125","143","13","true","125","0","44","true"
"126","143","13","true","126","0","44","true"
"127","146","13","true","127","0","44","true"
"128","146","13","true","128","0","44","true"
"129","151","13","true","129","0","44","true"
"130","151","13","true","130","0","44","true"
"131","145","13","true","131","0","44","true"
"132","148","13","true","132","0","44","true"
"133","145","13","true","133","0","44","true"
"134","146","13","true","134","0","44","true"
"135","145","13","true","135","0","44","true"
"136","145","13","true","136","0","44","true"
"137","145","13","true","137","0","44","true"
"138","146","13","true","138","0","44","true"
"139","149","13","true","139","0","44","true"
"140","150","13","true","140","0","44","true"
"141","155","13","true","141","0","44","true"
"142","159","13","true","142","0","44","true"
"143","162","13","true","143","0","44","true"
"144","161","13","true","144","0","44","true"
"145","164","13","true","145","0","44","true"
"146","164","13","true","146","0","44","true"
"147","163","13","true","147","0","44","true"
"148","169","13","true","148","0","44","true"
"149","169","13","true","149","0","44","true"
"150","169","13","true","150","0","44","true"
"151","170","13","true","151","0","44","true"
"152","164","13","true","152","0","44","true"
"153","167","13","true","153","0","44","true"
"154","167","13","true","154","0","44","true"
"155","171","13","true","155","0","44","true"
"156","172","13","true","156","0","44","true"
"157","174","13","true","157","0","44","true"
"158","175","13","true","158","0","44","true"
"159","178","13","true","159","0","44","true"
"160","179","13","true","160","0","44","true"
"161","178","13","true","161","0","44","true"
"162","181","13","true","162","0","44","true"
"163","181","13","true","163","0","44","true"
"164","180","13","true","164","0","44","true"
"165","185","13","true","165","0","44","true"
"166","181","13","true","166","0","44","true"
"167","181","13","true","167","0","44","true"
"168","182","13","true","168","0","44","true"
"169","182","13","true","169","0","44","true"
"170","186","13","true","170","0","44","true"
"171","189","13","true","171","0","44","true"
"172","189","13","true","172","0","44","true"
"173","187","13","true","173","0","44","true"
"174","196","13","true","174","0","44","true"
"175","192","13","true","175","0","44","true"
"176","187","13","true","176","0","44","true"
"177","192","13","true","177","0","44","true"
"178","196","13","true","178","0","44","true"
"179","195","13","true","179","0","44","true"
"180","196","13","true","180","0","44","true"
"181","193","13","true","181","0","44","true"
"182","194","13","true","182","0","44","true"
"183","197","13","true","183","0","44","true"
"184","203","13","true","184","0","44","true"
"185","213","13","true","185","0","44","true"
"186","212","13","true","186","0","44","true"
"187","212","13","true","187","0","44","true"
"188","216","13","true","188","0","44","true"
"189","208","13","true","189","0","44","true"
"190","210","13","true","190","0","44","true"
"191","214","13","true","191","0","44","true"
"192","211","13","true","192","0","44","true"
"193","210","13","true","193","0","44","true"
"194","217","13","true","194","0","44","true"
"195","213","13","true","195","0","44","true"
"196","215","13","true","196","0","44","true"
"197","214","13","true","197","0","44","true"
"198","216","13","true","198","0","44","true"
"199","220","13","true","199","0","44","true"
"200","224","13","true","200","0","44","true"
"201","229","13","true","201","0","44","true"
"202","223","13","true","202","0","44","true"
"203","226","13","true","203","0","44","true"
"204","228","13","true","204","0","44","true"
"205","225","13","true","205","0","44","true"
"206","230","13","true","206","0","44","true"
"207","234","13","true","207","0","44","true"
"208","230","13","true","208","0","44","true"
"209","231","13","true","209","0","44","true"
"210","237","13","true","210","0","44","true"
"211","230","13","true","211","0","44","true"
"212","231","13","true","212","0","44","true"
"213","230","13","true","213","0","44","true"
"214","237","13","true","214","0","44","true"
"215","240","13","true","215","0","44","true"
"216","233","13","true","216","0","44","true"
"217","236","13","true","217","0","44","true"
"218","237","13","true","218","0","44","true"
"219","239","13","true","219","0","44","true"
"220","245","13","true","220","0","44","true"
"221","252","13","true","221","0","44","true"
"222","245","13","true","222","0","44","true"
"223","250","13","true","223","0","44","true"
"224","249","13","true","224","0","44","true"
"225","249","13","true","225","0","44","true"
"226","242","13","true","226","0","44","true"
"227","248","13","true","227","0","44","true"
"228","251","13","true","228","0","44","true"
"229","246","13","true","229","0","44","true"
"230","253","13","true","230","0","44","true"
"231","250","13","true","231","0","44","true"
"232","250","13","true","232","0","44","true"
"233","254","13","true","233","0","44","true"
"234","254","13","true","234","0","44","true"
"235","255","13","true","235","0","44","true"
"236","256","13","true","236","0","44","true"
"237","254","13","true","237","0","44","true"
"238","262","13","true","238","0","44","true"
"239","263","13","true","239","0","44","true"
"240","270","13","true","240","0","44","true"
"241","273","13","true","241","0","44","true"
"242","268","13","true","242","0","44","true"
"243","266","13","true","243","0","44","true"
"244","267","13","true","244","0","44","true"
"245","274","13","true","245","0","44","true"
"246","274","13","true","246","0","44","true"
"247","275","13","true","247","0","44","true"
"248","269","13","true","248","0","44","true"
"249","269","13","true","249","0","44","true"
"250","276","13","true","250","0","44","true"
"251","274","13","true","251","0","44","true"
"252","277","13","true","252","0","44","true"
"253","286","13","true","253","0","44","true"
"254","283","13","true","254","0","44","true"
"255","281","13","true","255","0","44","true"
"256","281","13","true","256","0","44","true"
"257","284","13","true","257","0","44","true"
"258","291","13","true","258","0","44","true"
"259","290","13","true","259","0","44","true"
"260","293","13","true","260","0","44","true"
"261","295","13","true","261","0","44","true"
"262","287","13","true","262","0","44","true"
"263","282","13","true","263","0","44","true"
"264","285","13","true","264","0","44","true"
"265","291","13","true","265","0","44","true"
"266","295","13","true","266","0","44","true"
"267","299","13","true","267","0","44","true"
"268","299","13","true","268","0","44","true"
"269","299","13","true","269","0","44","true"
"270","289","13","true","270","0","44","true"
