"export-plot data (NetLogo 6.2.1)"
"HANDY_ABM_movement.nlogo"
"06/09/2022 09:29:20:202 -0500"

"MODEL SETTINGS"
"movement","depletion-factor","min-consumption","intelligence","regeneration-rate-of-nature","inequality--factor","random-location","nature's-capacity","number-of-elites","sustenance-cost","number-of-commoners"
"true","1.0E-4","0.005","false","0.01","0","true","4","0","5.0E-4","100"

"""Population with time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","3430","0","1320","true","""Elites""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Commoners""","true","0","1","13","2892"
"""Elites""","true","0","1","44","2892"

"""Commoners""",,,,"""Elites"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","100","13","true","0","0","44","true"
"1","97","13","true","1","0","44","true"
"2","92","13","true","2","0","44","true"
"3","90","13","true","3","0","44","true"
"4","89","13","true","4","0","44","true"
"5","89","13","true","5","0","44","true"
"6","89","13","true","6","0","44","true"
"7","88","13","true","7","0","44","true"
"8","87","13","true","8","0","44","true"
"9","87","13","true","9","0","44","true"
"10","90","13","true","10","0","44","true"
"11","89","13","true","11","0","44","true"
"12","87","13","true","12","0","44","true"
"13","85","13","true","13","0","44","true"
"14","88","13","true","14","0","44","true"
"15","88","13","true","15","0","44","true"
"16","88","13","true","16","0","44","true"
"17","88","13","true","17","0","44","true"
"18","92","13","true","18","0","44","true"
"19","86","13","true","19","0","44","true"
"20","87","13","true","20","0","44","true"
"21","85","13","true","21","0","44","true"
"22","84","13","true","22","0","44","true"
"23","89","13","true","23","0","44","true"
"24","89","13","true","24","0","44","true"
"25","89","13","true","25","0","44","true"
"26","91","13","true","26","0","44","true"
"27","94","13","true","27","0","44","true"
"28","97","13","true","28","0","44","true"
"29","95","13","true","29","0","44","true"
"30","90","13","true","30","0","44","true"
"31","94","13","true","31","0","44","true"
"32","96","13","true","32","0","44","true"
"33","95","13","true","33","0","44","true"
"34","92","13","true","34","0","44","true"
"35","93","13","true","35","0","44","true"
"36","97","13","true","36","0","44","true"
"37","97","13","true","37","0","44","true"
"38","101","13","true","38","0","44","true"
"39","101","13","true","39","0","44","true"
"40","100","13","true","40","0","44","true"
"41","99","13","true","41","0","44","true"
"42","104","13","true","42","0","44","true"
"43","106","13","true","43","0","44","true"
"44","105","13","true","44","0","44","true"
"45","106","13","true","45","0","44","true"
"46","97","13","true","46","0","44","true"
"47","96","13","true","47","0","44","true"
"48","96","13","true","48","0","44","true"
"49","98","13","true","49","0","44","true"
"50","99","13","true","50","0","44","true"
"51","98","13","true","51","0","44","true"
"52","104","13","true","52","0","44","true"
"53","106","13","true","53","0","44","true"
"54","108","13","true","54","0","44","true"
"55","107","13","true","55","0","44","true"
"56","112","13","true","56","0","44","true"
"57","109","13","true","57","0","44","true"
"58","109","13","true","58","0","44","true"
"59","105","13","true","59","0","44","true"
"60","104","13","true","60","0","44","true"
"61","108","13","true","61","0","44","true"
"62","113","13","true","62","0","44","true"
"63","113","13","true","63","0","44","true"
"64","112","13","true","64","0","44","true"
"65","117","13","true","65","0","44","true"
"66","117","13","true","66","0","44","true"
"67","113","13","true","67","0","44","true"
"68","114","13","true","68","0","44","true"
"69","114","13","true","69","0","44","true"
"70","116","13","true","70","0","44","true"
"71","121","13","true","71","0","44","true"
"72","126","13","true","72","0","44","true"
"73","126","13","true","73","0","44","true"
"74","125","13","true","74","0","44","true"
"75","124","13","true","75","0","44","true"
"76","123","13","true","76","0","44","true"
"77","123","13","true","77","0","44","true"
"78","126","13","true","78","0","44","true"
"79","124","13","true","79","0","44","true"
"80","129","13","true","80","0","44","true"
"81","125","13","true","81","0","44","true"
"82","126","13","true","82","0","44","true"
"83","127","13","true","83","0","44","true"
"84","128","13","true","84","0","44","true"
"85","132","13","true","85","0","44","true"
"86","137","13","true","86","0","44","true"
"87","135","13","true","87","0","44","true"
"88","138","13","true","88","0","44","true"
"89","140","13","true","89","0","44","true"
"90","136","13","true","90","0","44","true"
"91","136","13","true","91","0","44","true"
"92","135","13","true","92","0","44","true"
"93","137","13","true","93","0","44","true"
"94","136","13","true","94","0","44","true"
"95","138","13","true","95","0","44","true"
"96","139","13","true","96","0","44","true"
"97","139","13","true","97","0","44","true"
"98","145","13","true","98","0","44","true"
"99","145","13","true","99","0","44","true"
"100","144","13","true","100","0","44","true"
"101","140","13","true","101","0","44","true"
"102","138","13","true","102","0","44","true"
"103","138","13","true","103","0","44","true"
"104","136","13","true","104","0","44","true"
"105","138","13","true","105","0","44","true"
"106","140","13","true","106","0","44","true"
"107","144","13","true","107","0","44","true"
"108","147","13","true","108","0","44","true"
"109","146","13","true","109","0","44","true"
"110","142","13","true","110","0","44","true"
"111","143","13","true","111","0","44","true"
"112","144","13","true","112","0","44","true"
"113","148","13","true","113","0","44","true"
"114","144","13","true","114","0","44","true"
"115","143","13","true","115","0","44","true"
"116","144","13","true","116","0","44","true"
"117","145","13","true","117","0","44","true"
"118","146","13","true","118","0","44","true"
"119","147","13","true","119","0","44","true"
"120","146","13","true","120","0","44","true"
"121","147","13","true","121","0","44","true"
"122","155","13","true","122","0","44","true"
"123","156","13","true","123","0","44","true"
"124","160","13","true","124","0","44","true"
"125","161","13","true","125","0","44","true"
"126","155","13","true","126","0","44","true"
"127","154","13","true","127","0","44","true"
"128","150","13","true","128","0","44","true"
"129","147","13","true","129","0","44","true"
"130","148","13","true","130","0","44","true"
"131","151","13","true","131","0","44","true"
"132","153","13","true","132","0","44","true"
"133","154","13","true","133","0","44","true"
"134","156","13","true","134","0","44","true"
"135","157","13","true","135","0","44","true"
"136","157","13","true","136","0","44","true"
"137","158","13","true","137","0","44","true"
"138","156","13","true","138","0","44","true"
"139","162","13","true","139","0","44","true"
"140","162","13","true","140","0","44","true"
"141","163","13","true","141","0","44","true"
"142","164","13","true","142","0","44","true"
"143","162","13","true","143","0","44","true"
"144","159","13","true","144","0","44","true"
"145","162","13","true","145","0","44","true"
"146","164","13","true","146","0","44","true"
"147","165","13","true","147","0","44","true"
"148","164","13","true","148","0","44","true"
"149","166","13","true","149","0","44","true"
"150","172","13","true","150","0","44","true"
"151","176","13","true","151","0","44","true"
"152","173","13","true","152","0","44","true"
"153","175","13","true","153","0","44","true"
"154","176","13","true","154","0","44","true"
"155","175","13","true","155","0","44","true"
"156","174","13","true","156","0","44","true"
"157","175","13","true","157","0","44","true"
"158","177","13","true","158","0","44","true"
"159","176","13","true","159","0","44","true"
"160","181","13","true","160","0","44","true"
"161","182","13","true","161","0","44","true"
"162","180","13","true","162","0","44","true"
"163","187","13","true","163","0","44","true"
"164","178","13","true","164","0","44","true"
"165","176","13","true","165","0","44","true"
"166","186","13","true","166","0","44","true"
"167","186","13","true","167","0","44","true"
"168","186","13","true","168","0","44","true"
"169","183","13","true","169","0","44","true"
"170","184","13","true","170","0","44","true"
"171","186","13","true","171","0","44","true"
"172","187","13","true","172","0","44","true"
"173","192","13","true","173","0","44","true"
"174","195","13","true","174","0","44","true"
"175","199","13","true","175","0","44","true"
"176","199","13","true","176","0","44","true"
"177","206","13","true","177","0","44","true"
"178","208","13","true","178","0","44","true"
"179","209","13","true","179","0","44","true"
"180","211","13","true","180","0","44","true"
"181","207","13","true","181","0","44","true"
"182","215","13","true","182","0","44","true"
"183","214","13","true","183","0","44","true"
"184","221","13","true","184","0","44","true"
"185","228","13","true","185","0","44","true"
"186","221","13","true","186","0","44","true"
"187","223","13","true","187","0","44","true"
"188","219","13","true","188","0","44","true"
"189","224","13","true","189","0","44","true"
"190","227","13","true","190","0","44","true"
"191","229","13","true","191","0","44","true"
"192","232","13","true","192","0","44","true"
"193","232","13","true","193","0","44","true"
"194","229","13","true","194","0","44","true"
"195","233","13","true","195","0","44","true"
"196","229","13","true","196","0","44","true"
"197","239","13","true","197","0","44","true"
"198","244","13","true","198","0","44","true"
"199","243","13","true","199","0","44","true"
"200","246","13","true","200","0","44","true"
"201","247","13","true","201","0","44","true"
"202","252","13","true","202","0","44","true"
"203","254","13","true","203","0","44","true"
"204","251","13","true","204","0","44","true"
"205","251","13","true","205","0","44","true"
"206","252","13","true","206","0","44","true"
"207","255","13","true","207","0","44","true"
"208","252","13","true","208","0","44","true"
"209","256","13","true","209","0","44","true"
"210","262","13","true","210","0","44","true"
"211","262","13","true","211","0","44","true"
"212","259","13","true","212","0","44","true"
"213","259","13","true","213","0","44","true"
"214","261","13","true","214","0","44","true"
"215","268","13","true","215","0","44","true"
"216","272","13","true","216","0","44","true"
"217","268","13","true","217","0","44","true"
"218","271","13","true","218","0","44","true"
"219","265","13","true","219","0","44","true"
"220","264","13","true","220","0","44","true"
"221","269","13","true","221","0","44","true"
"222","270","13","true","222","0","44","true"
"223","269","13","true","223","0","44","true"
"224","281","13","true","224","0","44","true"
"225","283","13","true","225","0","44","true"
"226","281","13","true","226","0","44","true"
"227","277","13","true","227","0","44","true"
"228","281","13","true","228","0","44","true"
"229","278","13","true","229","0","44","true"
"230","280","13","true","230","0","44","true"
"231","282","13","true","231","0","44","true"
"232","285","13","true","232","0","44","true"
"233","287","13","true","233","0","44","true"
"234","288","13","true","234","0","44","true"
"235","291","13","true","235","0","44","true"
"236","297","13","true","236","0","44","true"
"237","299","13","true","237","0","44","true"
"238","303","13","true","238","0","44","true"
"239","306","13","true","239","0","44","true"
"240","302","13","true","240","0","44","true"
"241","292","13","true","241","0","44","true"
"242","294","13","true","242","0","44","true"
"243","303","13","true","243","0","44","true"
"244","306","13","true","244","0","44","true"
"245","312","13","true","245","0","44","true"
"246","312","13","true","246","0","44","true"
"247","315","13","true","247","0","44","true"
"248","318","13","true","248","0","44","true"
"249","319","13","true","249","0","44","true"
"250","322","13","true","250","0","44","true"
"251","320","13","true","251","0","44","true"
"252","323","13","true","252","0","44","true"
"253","326","13","true","253","0","44","true"
"254","326","13","true","254","0","44","true"
"255","331","13","true","255","0","44","true"
"256","332","13","true","256","0","44","true"
"257","331","13","true","257","0","44","true"
"258","327","13","true","258","0","44","true"
"259","330","13","true","259","0","44","true"
"260","329","13","true","260","0","44","true"
"261","334","13","true","261","0","44","true"
"262","338","13","true","262","0","44","true"
"263","346","13","true","263","0","44","true"
"264","336","13","true","264","0","44","true"
"265","350","13","true","265","0","44","true"
"266","351","13","true","266","0","44","true"
"267","352","13","true","267","0","44","true"
"268","356","13","true","268","0","44","true"
"269","354","13","true","269","0","44","true"
"270","354","13","true","270","0","44","true"
"271","357","13","true","271","0","44","true"
"272","363","13","true","272","0","44","true"
"273","367","13","true","273","0","44","true"
"274","374","13","true","274","0","44","true"
"275","373","13","true","275","0","44","true"
"276","375","13","true","276","0","44","true"
"277","372","13","true","277","0","44","true"
"278","367","13","true","278","0","44","true"
"279","376","13","true","279","0","44","true"
"280","371","13","true","280","0","44","true"
"281","372","13","true","281","0","44","true"
"282","368","13","true","282","0","44","true"
"283","368","13","true","283","0","44","true"
"284","375","13","true","284","0","44","true"
"285","376","13","true","285","0","44","true"
"286","382","13","true","286","0","44","true"
"287","373","13","true","287","0","44","true"
"288","373","13","true","288","0","44","true"
"289","377","13","true","289","0","44","true"
"290","381","13","true","290","0","44","true"
"291","379","13","true","291","0","44","true"
"292","383","13","true","292","0","44","true"
"293","382","13","true","293","0","44","true"
"294","381","13","true","294","0","44","true"
"295","387","13","true","295","0","44","true"
"296","388","13","true","296","0","44","true"
"297","385","13","true","297","0","44","true"
"298","388","13","true","298","0","44","true"
"299","390","13","true","299","0","44","true"
"300","396","13","true","300","0","44","true"
