"export-plot data (NetLogo 6.2.1)"
"HANDY_ABM_movement.nlogo"
"06/09/2022 15:31:18:673 -0500"

"MODEL SETTINGS"
"movement","depletion-factor","min-consumption","intelligence","regeneration-rate-of-nature","inequality--factor","random-location","number-of-elites","nature's-capacity","number-of-commoners","sustenance-cost"
"true","1.0E-4","0.005","false","0.01","0","true","0","4","100","5.0E-4"

"""Population with time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","3430","0","1380","true","""Elites""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Commoners""","true","0","1","13","2932"
"""Elites""","true","0","1","44","2932"

"""Commoners""",,,,"""Elites"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","100","13","true","0","0","44","true"
"1","89","13","true","1","0","44","true"
"2","88","13","true","2","0","44","true"
"3","89","13","true","3","0","44","true"
"4","84","13","true","4","0","44","true"
"5","81","13","true","5","0","44","true"
"6","77","13","true","6","0","44","true"
"7","79","13","true","7","0","44","true"
"8","77","13","true","8","0","44","true"
"9","76","13","true","9","0","44","true"
"10","75","13","true","10","0","44","true"
"11","72","13","true","11","0","44","true"
"12","71","13","true","12","0","44","true"
"13","69","13","true","13","0","44","true"
"14","72","13","true","14","0","44","true"
"15","69","13","true","15","0","44","true"
"16","69","13","true","16","0","44","true"
"17","70","13","true","17","0","44","true"
"18","66","13","true","18","0","44","true"
"19","66","13","true","19","0","44","true"
"20","66","13","true","20","0","44","true"
"21","68","13","true","21","0","44","true"
"22","68","13","true","22","0","44","true"
"23","66","13","true","23","0","44","true"
"24","67","13","true","24","0","44","true"
"25","67","13","true","25","0","44","true"
"26","67","13","true","26","0","44","true"
"27","67","13","true","27","0","44","true"
"28","67","13","true","28","0","44","true"
"29","65","13","true","29","0","44","true"
"30","62","13","true","30","0","44","true"
"31","58","13","true","31","0","44","true"
"32","60","13","true","32","0","44","true"
"33","60","13","true","33","0","44","true"
"34","64","13","true","34","0","44","true"
"35","65","13","true","35","0","44","true"
"36","64","13","true","36","0","44","true"
"37","67","13","true","37","0","44","true"
"38","69","13","true","38","0","44","true"
"39","70","13","true","39","0","44","true"
"40","68","13","true","40","0","44","true"
"41","65","13","true","41","0","44","true"
