"export-plot data (NetLogo 6.2.1)"
"HANDY_ABM.nlogo"
"06/13/2022 10:47:11:256 -0500"

"MODEL SETTINGS"
"movement","depletion-factor","min-consumption","regeneration-rate-of-nature","inequality--factor","random-location","nature's-capacity","number-of-elites","number-of-commoners","sustenance-cost"
"false","6.6E-6","0.005","0.01","0","false","100","0","100","5.0E-4"

"""Population with time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","27300","true","""Elites""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Commoners""","true","0","1","13","297"
"""Elites""","true","0","1","44","297"

"""Commoners""",,,,"""Elites"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","100","13","true","0","0","44","true"
"1","101","13","true","1","0","44","true"
"2","99","13","true","2","0","44","true"
"3","94","13","true","3","0","44","true"
"4","91","13","true","4","0","44","true"
"5","88","13","true","5","0","44","true"
"6","88","13","true","6","0","44","true"
"7","88","13","true","7","0","44","true"
"8","89","13","true","8","0","44","true"
"9","90","13","true","9","0","44","true"
"10","90","13","true","10","0","44","true"
"11","90","13","true","11","0","44","true"
"12","90","13","true","12","0","44","true"
"13","90","13","true","13","0","44","true"
"14","93","13","true","14","0","44","true"
"15","96","13","true","15","0","44","true"
"16","98","13","true","16","0","44","true"
"17","102","13","true","17","0","44","true"
"18","106","13","true","18","0","44","true"
"19","105","13","true","19","0","44","true"
"20","107","13","true","20","0","44","true"
"21","109","13","true","21","0","44","true"
"22","111","13","true","22","0","44","true"
"23","111","13","true","23","0","44","true"
"24","112","13","true","24","0","44","true"
"25","116","13","true","25","0","44","true"
"26","117","13","true","26","0","44","true"
"27","120","13","true","27","0","44","true"
"28","127","13","true","28","0","44","true"
"29","133","13","true","29","0","44","true"
"30","134","13","true","30","0","44","true"
"31","136","13","true","31","0","44","true"
"32","143","13","true","32","0","44","true"
"33","147","13","true","33","0","44","true"
"34","149","13","true","34","0","44","true"
"35","149","13","true","35","0","44","true"
"36","150","13","true","36","0","44","true"
"37","152","13","true","37","0","44","true"
"38","156","13","true","38","0","44","true"
"39","155","13","true","39","0","44","true"
"40","156","13","true","40","0","44","true"
"41","159","13","true","41","0","44","true"
"42","164","13","true","42","0","44","true"
"43","165","13","true","43","0","44","true"
"44","167","13","true","44","0","44","true"
"45","170","13","true","45","0","44","true"
"46","174","13","true","46","0","44","true"
"47","180","13","true","47","0","44","true"
"48","182","13","true","48","0","44","true"
"49","187","13","true","49","0","44","true"
"50","194","13","true","50","0","44","true"
"51","199","13","true","51","0","44","true"
"52","201","13","true","52","0","44","true"
"53","208","13","true","53","0","44","true"
"54","213","13","true","54","0","44","true"
"55","217","13","true","55","0","44","true"
"56","220","13","true","56","0","44","true"
"57","229","13","true","57","0","44","true"
"58","237","13","true","58","0","44","true"
"59","241","13","true","59","0","44","true"
"60","249","13","true","60","0","44","true"
"61","255","13","true","61","0","44","true"
"62","255","13","true","62","0","44","true"
"63","259","13","true","63","0","44","true"
"64","267","13","true","64","0","44","true"
"65","271","13","true","65","0","44","true"
"66","276","13","true","66","0","44","true"
"67","271","13","true","67","0","44","true"
"68","278","13","true","68","0","44","true"
"69","282","13","true","69","0","44","true"
"70","291","13","true","70","0","44","true"
"71","299","13","true","71","0","44","true"
"72","306","13","true","72","0","44","true"
"73","316","13","true","73","0","44","true"
"74","321","13","true","74","0","44","true"
"75","323","13","true","75","0","44","true"
"76","326","13","true","76","0","44","true"
"77","334","13","true","77","0","44","true"
"78","344","13","true","78","0","44","true"
"79","353","13","true","79","0","44","true"
"80","362","13","true","80","0","44","true"
"81","367","13","true","81","0","44","true"
"82","379","13","true","82","0","44","true"
"83","384","13","true","83","0","44","true"
"84","390","13","true","84","0","44","true"
"85","399","13","true","85","0","44","true"
"86","411","13","true","86","0","44","true"
"87","421","13","true","87","0","44","true"
"88","430","13","true","88","0","44","true"
"89","441","13","true","89","0","44","true"
"90","451","13","true","90","0","44","true"
"91","460","13","true","91","0","44","true"
"92","469","13","true","92","0","44","true"
"93","473","13","true","93","0","44","true"
"94","484","13","true","94","0","44","true"
"95","487","13","true","95","0","44","true"
"96","487","13","true","96","0","44","true"
"97","501","13","true","97","0","44","true"
"98","509","13","true","98","0","44","true"
"99","518","13","true","99","0","44","true"
"100","530","13","true","100","0","44","true"
"101","543","13","true","101","0","44","true"
"102","555","13","true","102","0","44","true"
"103","556","13","true","103","0","44","true"
"104","564","13","true","104","0","44","true"
"105","583","13","true","105","0","44","true"
"106","592","13","true","106","0","44","true"
"107","598","13","true","107","0","44","true"
"108","610","13","true","108","0","44","true"
"109","622","13","true","109","0","44","true"
"110","635","13","true","110","0","44","true"
"111","646","13","true","111","0","44","true"
"112","660","13","true","112","0","44","true"
"113","669","13","true","113","0","44","true"
"114","680","13","true","114","0","44","true"
"115","703","13","true","115","0","44","true"
"116","711","13","true","116","0","44","true"
"117","723","13","true","117","0","44","true"
"118","728","13","true","118","0","44","true"
"119","755","13","true","119","0","44","true"
"120","778","13","true","120","0","44","true"
"121","790","13","true","121","0","44","true"
"122","801","13","true","122","0","44","true"
"123","824","13","true","123","0","44","true"
"124","845","13","true","124","0","44","true"
"125","858","13","true","125","0","44","true"
"126","875","13","true","126","0","44","true"
"127","895","13","true","127","0","44","true"
"128","914","13","true","128","0","44","true"
"129","928","13","true","129","0","44","true"
"130","950","13","true","130","0","44","true"
"131","975","13","true","131","0","44","true"
"132","998","13","true","132","0","44","true"
"133","1016","13","true","133","0","44","true"
"134","1037","13","true","134","0","44","true"
"135","1054","13","true","135","0","44","true"
"136","1080","13","true","136","0","44","true"
"137","1096","13","true","137","0","44","true"
"138","1111","13","true","138","0","44","true"
"139","1132","13","true","139","0","44","true"
"140","1156","13","true","140","0","44","true"
"141","1173","13","true","141","0","44","true"
"142","1204","13","true","142","0","44","true"
"143","1225","13","true","143","0","44","true"
"144","1256","13","true","144","0","44","true"
"145","1278","13","true","145","0","44","true"
"146","1305","13","true","146","0","44","true"
"147","1333","13","true","147","0","44","true"
"148","1369","13","true","148","0","44","true"
"149","1400","13","true","149","0","44","true"
"150","1435","13","true","150","0","44","true"
"151","1450","13","true","151","0","44","true"
"152","1476","13","true","152","0","44","true"
"153","1497","13","true","153","0","44","true"
"154","1525","13","true","154","0","44","true"
"155","1557","13","true","155","0","44","true"
"156","1585","13","true","156","0","44","true"
"157","1605","13","true","157","0","44","true"
"158","1634","13","true","158","0","44","true"
"159","1668","13","true","159","0","44","true"
"160","1711","13","true","160","0","44","true"
"161","1746","13","true","161","0","44","true"
"162","1777","13","true","162","0","44","true"
"163","1816","13","true","163","0","44","true"
"164","1848","13","true","164","0","44","true"
"165","1879","13","true","165","0","44","true"
"166","1921","13","true","166","0","44","true"
"167","1954","13","true","167","0","44","true"
"168","1997","13","true","168","0","44","true"
"169","2041","13","true","169","0","44","true"
"170","2079","13","true","170","0","44","true"
"171","2121","13","true","171","0","44","true"
"172","2166","13","true","172","0","44","true"
"173","2199","13","true","173","0","44","true"
"174","2238","13","true","174","0","44","true"
"175","2289","13","true","175","0","44","true"
"176","2330","13","true","176","0","44","true"
"177","2377","13","true","177","0","44","true"
"178","2425","13","true","178","0","44","true"
"179","2471","13","true","179","0","44","true"
"180","2505","13","true","180","0","44","true"
"181","2563","13","true","181","0","44","true"
"182","2610","13","true","182","0","44","true"
"183","2669","13","true","183","0","44","true"
"184","2710","13","true","184","0","44","true"
"185","2781","13","true","185","0","44","true"
"186","2830","13","true","186","0","44","true"
"187","2889","13","true","187","0","44","true"
"188","2960","13","true","188","0","44","true"
"189","3002","13","true","189","0","44","true"
"190","3070","13","true","190","0","44","true"
"191","3135","13","true","191","0","44","true"
"192","3187","13","true","192","0","44","true"
"193","3265","13","true","193","0","44","true"
"194","3331","13","true","194","0","44","true"
"195","3396","13","true","195","0","44","true"
"196","3474","13","true","196","0","44","true"
"197","3544","13","true","197","0","44","true"
"198","3621","13","true","198","0","44","true"
"199","3713","13","true","199","0","44","true"
"200","3762","13","true","200","0","44","true"
"201","3857","13","true","201","0","44","true"
"202","3911","13","true","202","0","44","true"
"203","3982","13","true","203","0","44","true"
"204","4060","13","true","204","0","44","true"
"205","4134","13","true","205","0","44","true"
"206","4222","13","true","206","0","44","true"
"207","4301","13","true","207","0","44","true"
"208","4409","13","true","208","0","44","true"
"209","4494","13","true","209","0","44","true"
"210","4586","13","true","210","0","44","true"
"211","4666","13","true","211","0","44","true"
"212","4762","13","true","212","0","44","true"
"213","4866","13","true","213","0","44","true"
"214","4969","13","true","214","0","44","true"
"215","5070","13","true","215","0","44","true"
"216","5173","13","true","216","0","44","true"
"217","5293","13","true","217","0","44","true"
"218","5396","13","true","218","0","44","true"
"219","5510","13","true","219","0","44","true"
"220","5605","13","true","220","0","44","true"
"221","5718","13","true","221","0","44","true"
"222","5821","13","true","222","0","44","true"
"223","5935","13","true","223","0","44","true"
"224","6053","13","true","224","0","44","true"
"225","6177","13","true","225","0","44","true"
"226","6315","13","true","226","0","44","true"
