"export-plot data (NetLogo 6.2.1)"
"HANDY_ABM.nlogo"
"06/17/2022 08:58:27:260 -0500"

"MODEL SETTINGS"
"movement","depletion-factor","min-consumption","regeneration-rate-of-nature","inequality--factor","random-location","nature's-capacity","number-of-elites","sustenance-cost","number-of-commoners"
"false","1.0E-5","0.005","0.01","0","false","100","0","5.0E-4","100"

"""Population with time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","91700","true","""Elites""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Commoners""","true","0","1","13","911"
"""Elites""","true","0","1","44","911"

"""Commoners""",,,,"""Elites"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","100","13","true","0","0","44","true"
"1","97","13","true","1","0","44","true"
"2","96","13","true","2","0","44","true"
"3","98","13","true","3","0","44","true"
"4","98","13","true","4","0","44","true"
"5","98","13","true","5","0","44","true"
"6","97","13","true","6","0","44","true"
"7","102","13","true","7","0","44","true"
"8","106","13","true","8","0","44","true"
"9","110","13","true","9","0","44","true"
"10","109","13","true","10","0","44","true"
"11","112","13","true","11","0","44","true"
"12","114","13","true","12","0","44","true"
"13","115","13","true","13","0","44","true"
"14","121","13","true","14","0","44","true"
"15","123","13","true","15","0","44","true"
"16","126","13","true","16","0","44","true"
"17","128","13","true","17","0","44","true"
"18","127","13","true","18","0","44","true"
"19","127","13","true","19","0","44","true"
"20","131","13","true","20","0","44","true"
"21","136","13","true","21","0","44","true"
"22","138","13","true","22","0","44","true"
"23","144","13","true","23","0","44","true"
"24","147","13","true","24","0","44","true"
"25","146","13","true","25","0","44","true"
"26","148","13","true","26","0","44","true"
"27","150","13","true","27","0","44","true"
"28","156","13","true","28","0","44","true"
"29","158","13","true","29","0","44","true"
"30","160","13","true","30","0","44","true"
"31","169","13","true","31","0","44","true"
"32","173","13","true","32","0","44","true"
"33","176","13","true","33","0","44","true"
"34","177","13","true","34","0","44","true"
"35","178","13","true","35","0","44","true"
"36","181","13","true","36","0","44","true"
"37","180","13","true","37","0","44","true"
"38","182","13","true","38","0","44","true"
"39","182","13","true","39","0","44","true"
"40","189","13","true","40","0","44","true"
"41","196","13","true","41","0","44","true"
"42","193","13","true","42","0","44","true"
"43","200","13","true","43","0","44","true"
"44","202","13","true","44","0","44","true"
"45","210","13","true","45","0","44","true"
"46","216","13","true","46","0","44","true"
"47","224","13","true","47","0","44","true"
"48","227","13","true","48","0","44","true"
"49","234","13","true","49","0","44","true"
"50","235","13","true","50","0","44","true"
"51","236","13","true","51","0","44","true"
"52","241","13","true","52","0","44","true"
"53","251","13","true","53","0","44","true"
"54","254","13","true","54","0","44","true"
"55","257","13","true","55","0","44","true"
"56","264","13","true","56","0","44","true"
"57","261","13","true","57","0","44","true"
"58","264","13","true","58","0","44","true"
"59","268","13","true","59","0","44","true"
"60","272","13","true","60","0","44","true"
"61","274","13","true","61","0","44","true"
"62","287","13","true","62","0","44","true"
"63","292","13","true","63","0","44","true"
"64","295","13","true","64","0","44","true"
"65","300","13","true","65","0","44","true"
"66","307","13","true","66","0","44","true"
"67","306","13","true","67","0","44","true"
"68","314","13","true","68","0","44","true"
"69","321","13","true","69","0","44","true"
"70","331","13","true","70","0","44","true"
"71","340","13","true","71","0","44","true"
"72","344","13","true","72","0","44","true"
"73","348","13","true","73","0","44","true"
"74","356","13","true","74","0","44","true"
"75","364","13","true","75","0","44","true"
"76","372","13","true","76","0","44","true"
"77","381","13","true","77","0","44","true"
"78","390","13","true","78","0","44","true"
"79","397","13","true","79","0","44","true"
"80","402","13","true","80","0","44","true"
