"export-plot data (NetLogo 6.2.2)"
"HANDY_ABM.nlogo"
"05/31/2022 09:17:36:696 -0500"

"MODEL SETTINGS"
"movement","depletion-factor","min-consumption","regeneration-rate-of-nature","inequality--factor","random-location","number-of-elites","sustenance-cost","number-of-commoners","nature's-capacity"
"false","6.56E-6","0.005","0.01","1","false","0","5.0E-4","100","100"

"""Population with time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","90300","true","""Elites""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Commoners""","true","0","1","13","952"
"""Elites""","true","0","1","44","952"

"""Commoners""",,,,"""Elites"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","100","13","true","0","0","44","true"
"1","100","13","true","1","0","44","true"
"2","100","13","true","2","0","44","true"
"3","100","13","true","3","0","44","true"
"4","96","13","true","4","0","44","true"
"5","96","13","true","5","0","44","true"
"6","93","13","true","6","0","44","true"
"7","93","13","true","7","0","44","true"
"8","90","13","true","8","0","44","true"
"9","90","13","true","9","0","44","true"
"10","88","13","true","10","0","44","true"
"11","88","13","true","11","0","44","true"
"12","87","13","true","12","0","44","true"
"13","87","13","true","13","0","44","true"
"14","86","13","true","14","0","44","true"
"15","86","13","true","15","0","44","true"
"16","86","13","true","16","0","44","true"
"17","86","13","true","17","0","44","true"
"18","86","13","true","18","0","44","true"
"19","86","13","true","19","0","44","true"
"20","86","13","true","20","0","44","true"
"21","86","13","true","21","0","44","true"
"22","86","13","true","22","0","44","true"
"23","86","13","true","23","0","44","true"
"24","87","13","true","24","0","44","true"
"25","87","13","true","25","0","44","true"
"26","88","13","true","26","0","44","true"
"27","88","13","true","27","0","44","true"
"28","89","13","true","28","0","44","true"
"29","89","13","true","29","0","44","true"
"30","90","13","true","30","0","44","true"
"31","90","13","true","31","0","44","true"
"32","91","13","true","32","0","44","true"
"33","91","13","true","33","0","44","true"
"34","93","13","true","34","0","44","true"
"35","93","13","true","35","0","44","true"
"36","95","13","true","36","0","44","true"
"37","95","13","true","37","0","44","true"
"38","97","13","true","38","0","44","true"
"39","97","13","true","39","0","44","true"
"40","99","13","true","40","0","44","true"
"41","99","13","true","41","0","44","true"
"42","101","13","true","42","0","44","true"
"43","101","13","true","43","0","44","true"
"44","103","13","true","44","0","44","true"
"45","103","13","true","45","0","44","true"
"46","105","13","true","46","0","44","true"
"47","105","13","true","47","0","44","true"
"48","107","13","true","48","0","44","true"
"49","107","13","true","49","0","44","true"
"50","109","13","true","50","0","44","true"
"51","109","13","true","51","0","44","true"
"52","111","13","true","52","0","44","true"
"53","111","13","true","53","0","44","true"
"54","113","13","true","54","0","44","true"
"55","113","13","true","55","0","44","true"
"56","115","13","true","56","0","44","true"
"57","115","13","true","57","0","44","true"
"58","117","13","true","58","0","44","true"
"59","117","13","true","59","0","44","true"
"60","119","13","true","60","0","44","true"
"61","119","13","true","61","0","44","true"
"62","121","13","true","62","0","44","true"
"63","121","13","true","63","0","44","true"
"64","123","13","true","64","0","44","true"
"65","123","13","true","65","0","44","true"
"66","125","13","true","66","0","44","true"
"67","125","13","true","67","0","44","true"
"68","128","13","true","68","0","44","true"
"69","128","13","true","69","0","44","true"
"70","131","13","true","70","0","44","true"
"71","131","13","true","71","0","44","true"
"72","134","13","true","72","0","44","true"
"73","134","13","true","73","0","44","true"
"74","137","13","true","74","0","44","true"
"75","137","13","true","75","0","44","true"
"76","140","13","true","76","0","44","true"
"77","140","13","true","77","0","44","true"
"78","143","13","true","78","0","44","true"
"79","143","13","true","79","0","44","true"
"80","146","13","true","80","0","44","true"
"81","146","13","true","81","0","44","true"
"82","149","13","true","82","0","44","true"
"83","149","13","true","83","0","44","true"
"84","152","13","true","84","0","44","true"
"85","152","13","true","85","0","44","true"
"86","155","13","true","86","0","44","true"
"87","155","13","true","87","0","44","true"
"88","158","13","true","88","0","44","true"
"89","158","13","true","89","0","44","true"
"90","161","13","true","90","0","44","true"
"91","161","13","true","91","0","44","true"
"92","164","13","true","92","0","44","true"
"93","164","13","true","93","0","44","true"
"94","167","13","true","94","0","44","true"
"95","167","13","true","95","0","44","true"
"96","170","13","true","96","0","44","true"
"97","170","13","true","97","0","44","true"
"98","173","13","true","98","0","44","true"
"99","173","13","true","99","0","44","true"
"100","176","13","true","100","0","44","true"
"101","176","13","true","101","0","44","true"
"102","180","13","true","102","0","44","true"
"103","180","13","true","103","0","44","true"
"104","184","13","true","104","0","44","true"
"105","184","13","true","105","0","44","true"
"106","188","13","true","106","0","44","true"
"107","188","13","true","107","0","44","true"
"108","192","13","true","108","0","44","true"
"109","192","13","true","109","0","44","true"
"110","196","13","true","110","0","44","true"
"111","196","13","true","111","0","44","true"
"112","200","13","true","112","0","44","true"
"113","200","13","true","113","0","44","true"
"114","204","13","true","114","0","44","true"
"115","204","13","true","115","0","44","true"
"116","208","13","true","116","0","44","true"
"117","208","13","true","117","0","44","true"
"118","212","13","true","118","0","44","true"
"119","212","13","true","119","0","44","true"
"120","216","13","true","120","0","44","true"
"121","216","13","true","121","0","44","true"
"122","220","13","true","122","0","44","true"
"123","220","13","true","123","0","44","true"
"124","224","13","true","124","0","44","true"
