,Time,Commoners,Elites,Nature,Wealth
0,0,100,0,100,0
1,0.1,99.6,0,99.99333,0.00667
2,0.2,99.209604,0,99.98735408,0.013246177
3,0.3,98.828661,0,99.98200207,0.019730159
4,0.4,98.45702254,0,99.97721085,0.026123543
5,0.5,98.0945427,0,99.97292366,0.032427894
6,0.6,97.74107801,0,99.96908943,0.038644749
7,0.7,97.39648739,0,99.96566221,0.044775617
8,0.8,97.06063218,0,99.9626007,0.050821976
9,0.9,96.73337603,0,99.95986771,0.056785279
10,1,96.41458486,0,99.9574298,0.062666953
11,1.1,96.10412686,0,99.95525689,0.068468398
12,1.2,95.80187243,0,99.95332192,0.074190992
13,1.3,95.50769413,0,99.95160055,0.079836084
14,1.4,95.22146665,0,99.95007087,0.085405003
15,1.5,94.94306679,0,99.94871319,0.090899054
16,1.6,94.67237339,0,99.94750979,0.096319518
17,1.7,94.40926732,0,99.94644472,0.101667655
18,1.8,94.15363143,0,99.94550365,0.106944705
19,1.9,93.90535055,0,99.94467369,0.112151882
20,2,93.66431141,0,99.94394324,0.117290385
21,2.1,93.43040263,0,99.94330187,0.122361389
22,2.2,93.20351468,0,99.94274019,0.127366049
23,2.3,92.98353988,0,99.94224978,0.132305504
24,2.4,92.77037233,0,99.94182305,0.137180869
25,2.5,92.56390788,0,99.94145317,0.141993244
26,2.6,92.36404414,0,99.94113403,0.14674371
27,2.7,92.17068042,0,99.94086011,0.151433328
28,2.8,91.98371769,0,99.94062645,0.156063143
29,2.9,91.80305859,0,99.94042861,0.160634183
30,3,91.62860738,0,99.94026258,0.165147457
31,3.1,91.4602699,0,99.94012478,0.16960396
32,3.2,91.29795357,0,99.94001197,0.174004668
33,3.3,91.14156735,0,99.93992125,0.178350542
34,3.4,90.99102174,0,99.93985003,0.182642526
35,3.5,90.84622868,0,99.93979596,0.186881552
36,3.6,90.70710163,0,99.93975694,0.191068532
37,3.7,90.57355546,0,99.9397311,0.195204365
38,3.8,90.44550648,0,99.93971674,0.199289937
39,3.9,90.32287237,0,99.93971235,0.203326116
40,4,90.20557222,0,99.93971658,0.207313758
41,4.1,90.09352644,0,99.9397282,0.211253705
42,4.2,89.98665679,0,99.93974613,0.215146785
43,4.3,89.8848863,0,99.9397694,0.21899381
44,4.4,89.78813933,0,99.93979712,0.222795583
45,4.5,89.69634147,0,99.93982852,0.226552891
46,4.6,89.60941957,0,99.9398629,0.230266508
47,4.7,89.5273017,0,99.93989964,0.233937197
48,4.8,89.44991713,0,99.93993818,0.237565707
49,4.9,89.37719631,0,99.93997803,0.241152776
50,5,89.30907086,0,99.94001874,0.244699129
51,5.1,89.24547353,0,99.94005993,0.24820548
52,5.2,89.18633821,0,99.94010124,0.25167253
53,5.3,89.13159989,0,99.94014236,0.25510097
54,5.4,89.08119466,0,99.94018302,0.258491479
55,5.5,89.03505965,0,99.94022298,0.261844726
56,5.6,88.99313309,0,99.94026202,0.265161367
57,5.7,88.9553542,0,99.94029995,0.26844205
58,5.8,88.92166324,0,99.94033662,0.271687409
59,5.9,88.89200148,0,99.94037186,0.274898071
60,6,88.86631116,0,99.94040556,0.278074652
61,6.1,88.84453549,0,99.9404376,0.281217756
62,6.2,88.82661866,0,99.94046789,0.284327979
63,6.3,88.81250576,0,99.94049635,0.287405908
64,6.4,88.80214283,0,99.9405229,0.290452118
65,6.5,88.7954768,0,99.9405475,0.293467177
66,6.6,88.7924555,0,99.94057007,0.296451642
67,6.7,88.79302765,0,99.9405906,0.299406063
68,6.8,88.79714281,0,99.94060903,0.302330979
69,6.9,88.80475142,0,99.94062535,0.305226921
70,7,88.81580472,0,99.94063953,0.308094411
71,7.1,88.83025479,0,99.94065156,0.310933965
72,7.2,88.84805453,0,99.94066142,0.313746087
73,7.3,88.86915762,0,99.9406691,0.316531275
74,7.4,88.89351852,0,99.94067462,0.319290018
