,Time,Commoners,Elites,Nature,Wealth
0,0,100,0,100,0
1,0.1,99.6,0,99.99,0.01
2,0.2,99.2136,0,99.9810409,0.019859004
3,0.3,98.8405764,0,99.97301697,0.029579893
4,0.4,98.48070997,0,99.96583315,0.039165485
5,0.5,98.13378571,0,99.95940396,0.048618536
6,0.6,97.79959281,0,99.95365252,0.057941745
7,0.7,97.47792454,0,99.9485097,0.067137754
8,0.8,97.16857814,0,99.9439133,0.07620915
9,0.9,96.87135481,0,99.93980742,0.085158467
10,1,96.58605955,0,99.93614175,0.093988187
11,1.1,96.31250114,0,99.93287106,0.102700743
12,1.2,96.05049202,0,99.92995466,0.11129852
13,1.3,95.79984828,0,99.92735597,0.119783856
14,1.4,95.56038951,0,99.92504207,0.128159043
15,1.5,95.33193881,0,99.92298337,0.136426329
16,1.6,95.11432265,0,99.92115325,0.144587917
17,1.7,94.90737086,0,99.91952777,0.152645971
18,1.8,94.71091654,0,99.91808542,0.160602611
19,1.9,94.52479601,0,99.91680683,0.168459918
20,2,94.34884872,0,99.91567461,0.176219935
21,2.1,94.18291725,0,99.91467311,0.183884664
22,2.2,94.02684718,0,99.91378827,0.191456073
23,2.3,93.88048708,0,99.91300743,0.198936091
24,2.4,93.74368844,0,99.91231924,0.206326612
25,2.5,93.61630562,0,99.91171348,0.213629495
26,2.6,93.49819579,0,99.91118097,0.220846565
27,2.7,93.38921888,0,99.91071347,0.227979615
28,2.8,93.28923755,0,99.91030356,0.235030402
29,2.9,93.19811708,0,99.90994461,0.242000654
30,3,93.1157254,0,99.90963062,0.248892066
31,3.1,93.04193297,0,99.90935623,0.255706304
32,3.2,92.97661281,0,99.90911663,0.262445
33,3.3,92.91964036,0,99.9089075,0.269109761
34,3.4,92.87089351,0,99.90872495,0.275702164
35,3.5,92.83025253,0,99.90856551,0.282223754
36,3.6,92.79760003,0,99.90842606,0.288676054
37,3.7,92.77282089,0,99.90830381,0.295060556
38,3.8,92.75580227,0,99.90819624,0.301378725
39,3.9,92.74643354,0,99.90810113,0.307632003
40,4,92.74460621,0,99.90801645,0.313821803
41,4.1,92.75021394,0,99.90794041,0.319949515
42,4.2,92.76315251,0,99.90787141,0.326016502
43,4.3,92.7833197,0,99.90780802,0.332024107
44,4.4,92.81061535,0,99.90774894,0.337973644
45,4.5,92.84494126,0,99.90769303,0.343866407
46,4.6,92.88620118,0,99.90763929,0.349703667
47,4.7,92.93430078,0,99.90758679,0.355486671
48,4.8,92.98914758,0,99.90753472,0.361216646
49,4.9,93.05065096,0,99.90748239,0.366894796
50,5,93.11872212,0,99.90742913,0.372522304
51,5.1,93.19327399,0,99.9073744,0.378100333
52,5.2,93.2742213,0,99.90731768,0.383630025
53,5.3,93.36148044,0,99.90725855,0.389112502
54,5.4,93.45496952,0,99.9071966,0.394548867
55,5.5,93.55460829,0,99.90713151,0.399940202
56,5.6,93.6603181,0,99.90706296,0.405287573
57,5.7,93.77202191,0,99.9069907,0.410592024
58,5.8,93.88964425,0,99.9069145,0.415854585
59,5.9,94.01311118,0,99.90683416,0.421076264
60,6,94.14235025,0,99.90674951,0.426258053
61,6.1,94.27729051,0,99.90666041,0.431400929
62,6.2,94.41786246,0,99.90656672,0.436505849
63,6.3,94.56399803,0,99.90646836,0.441573755
64,6.4,94.71563055,0,99.90636522,0.446605572
65,6.5,94.87269471,0,99.90625723,0.451602211
66,6.6,95.03512659,0,99.90614435,0.456564565
67,6.7,95.20286356,0,99.90602651,0.461493512
68,6.8,95.37584432,0,99.90590369,0.466389917
69,6.9,95.55400884,0,99.90577586,0.471254628
70,7,95.73729836,0,99.90564299,0.476088479
71,7.1,95.92565534,0,99.9055051,0.48089229
72,7.2,96.11750665,0,99.90536216,0.485679509
73,7.3,96.30974166,0,99.90521433,0.490476288
74,7.4,96.50236115,0,99.90506207,0.495282646
75,7.5,96.69536587,0,99.90490577,0.500098602
76,7.6,96.8887566,0,99.90474581,0.504924175
77,7.7,97.08253411,0,99.90458251,0.509759384
78,7.8,97.27669918,0,99.90441616,0.514604247
79,7.9,97.47125258,0,99.90424704,0.519458784
80,8,97.66619509,0,99.90407538,0.524323014
81,8.1,97.86152748,0,99.90390139,0.529196955
82,8.2,98.05725053,0,99.90372526,0.534080627
83,8.3,98.25336503,0,99.90354718,0.538974049
84,8.4,98.44987176,0,99.9033673,0.54387724
85,8.5,98.6467715,0,99.90318576,0.548790221
86,8.6,98.84406505,0,99.90300268,0.553713009
87,8.7,99.04175318,0,99.90281819,0.558645624
88,8.8,99.23983668,0,99.90263238,0.563588087
89,8.9,99.43831636,0,99.90244534,0.568540416
90,9,99.63719299,0,99.90225716,0.573502631
91,9.1,99.83646738,0,99.90206791,0.578474752
92,9.2,100.0361403,0,99.90187765,0.583456798
93,9.3,100.2362126,0,99.90168646,0.588448789
94,9.4,100.436685,0,99.90149438,0.593450745
95,9.5,100.6375584,0,99.90130147,0.598462686
96,9.6,100.8388335,0,99.90110776,0.603484631
97,9.7,101.0405112,0,99.90091329,0.608516601
98,9.8,101.2425922,0,99.9007181,0.613558615
99,9.9,101.4450774,0,99.90052223,0.618610693
100,10,101.6479675,0,99.90032569,0.623672855
101,10.1,101.8512635,0,99.90012852,0.628745122
102,10.2,102.054966,0,99.89993074,0.633827513
103,10.3,102.2590759,0,99.89973237,0.638920049
104,10.4,102.4635941,0,99.89953343,0.644022749
105,10.5,102.6685213,0,99.89933392,0.649135635
106,10.6,102.8738583,0,99.89913388,0.654258725
107,10.7,103.079606,0,99.89893331,0.659392042
108,10.8,103.2857652,0,99.89873222,0.664535604
109,10.9,103.4923368,0,99.89853063,0.669689433
110,11,103.6993214,0,99.89832854,0.674853549
111,11.1,103.9067201,0,99.89812596,0.680027971
112,11.2,104.1145335,0,99.8979229,0.685212722
113,11.3,104.3227626,0,99.89771936,0.690407821
114,11.4,104.5314081,0,99.89751536,0.695613289
115,11.5,104.7404709,0,99.89731089,0.700829146
116,11.6,104.9499519,0,99.89710597,0.706055414
117,11.7,105.1598518,0,99.89690059,0.711292113
118,11.8,105.3701715,0,99.89669475,0.716539264
119,11.9,105.5809118,0,99.89648847,0.721796887
120,12,105.7920736,0,99.89628175,0.727065004
121,12.1,106.0036578,0,99.89607458,0.732343635
122,12.2,106.2156651,0,99.89586697,0.737632801
123,12.3,106.4280964,0,99.89565893,0.742932524
124,12.4,106.6409526,0,99.89545044,0.748242824
125,12.5,106.8542345,0,99.89524152,0.753563722
126,12.6,107.067943,0,99.89503217,0.75889524
127,12.7,107.2820789,0,99.89482238,0.764237399
128,12.8,107.4966431,0,99.89461215,0.769590219
129,12.9,107.7116363,0,99.89440149,0.774953722
130,13,107.9270596,0,99.8941904,0.78032793
131,13.1,108.1429137,0,99.89397888,0.785712863
132,13.2,108.3591996,0,99.89376693,0.791108543
133,13.3,108.575918,0,99.89355454,0.796514992
134,13.4,108.7930698,0,99.89334172,0.801932231
135,13.5,109.0106559,0,99.89312847,0.80736028
136,13.6,109.2286772,0,99.89291479,0.812799163
137,13.7,109.4471346,0,99.89270067,0.8182489
138,13.8,109.6660289,0,99.89248612,0.823709513
139,13.9,109.8853609,0,99.89227114,0.829181024
140,14,110.1051316,0,99.89205572,0.834663454
141,14.1,110.3253419,0,99.89183987,0.840156826
142,14.2,110.5459926,0,99.89162358,0.84566116
143,14.3,110.7670846,0,99.89140686,0.851176479
144,14.4,110.9886187,0,99.8911897,0.856702805
145,14.5,111.210596,0,99.8909721,0.862240159
146,14.6,111.4330172,0,99.89075407,0.867788564
147,14.7,111.6558832,0,99.8905356,0.873348041
148,14.8,111.879195,0,99.89031669,0.878918613
149,14.9,112.1029534,0,99.89009735,0.884500301
150,15,112.3271593,0,99.88987756,0.890093128
151,15.1,112.5518136,0,99.88965733,0.895697117
152,15.2,112.7769172,0,99.88943666,0.901312288
153,15.3,113.0024711,0,99.88921555,0.906938665
154,15.4,113.228476,0,99.88899399,0.91257627
155,15.5,113.454933,0,99.88877199,0.918225124
156,15.6,113.6818428,0,99.88854955,0.923885252
157,15.7,113.9092065,0,99.88832666,0.929556674
158,15.8,114.1370249,0,99.88810332,0.935239414
159,15.9,114.365299,0,99.88787953,0.940933493
160,16,114.5940296,0,99.8876553,0.946638936
161,16.1,114.8232176,0,99.88743062,0.952355763
162,16.2,115.0528641,0,99.88720549,0.958083998
163,16.3,115.2829698,0,99.88697991,0.963823664
164,16.4,115.5135357,0,99.88675388,0.969574783
165,16.5,115.7445628,0,99.88652739,0.975337379
166,16.6,115.9760519,0,99.88630046,0.981111473
167,16.7,116.208004,0,99.88607306,0.986897089
