"export-plot data (NetLogo 6.2.1)"
"HANDY_ABM.nlogo"
"06/01/2022 15:11:36:479 -0500"

"MODEL SETTINGS"
"movement","depletion-factor","min-consumption","regeneration-rate-of-nature","inequality--factor","random-location","nature's-capacity","sustenance-cost","number-of-elites","number-of-commoners"
"false","5.0E-6","0.005","0.01","1","false","100","5.0E-4","0","100"

"""Population with time"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","34700","true","""Elites""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Commoners""","true","0","1","13","1036"
"""Elites""","true","0","1","44","1036"

"""Commoners""",,,,"""Elites"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","100","13","true","0","0","44","true"
"1","95","13","true","1","0","44","true"
"2","95","13","true","2","0","44","true"
"3","91","13","true","3","0","44","true"
"4","91","13","true","4","0","44","true"
"5","88","13","true","5","0","44","true"
"6","88","13","true","6","0","44","true"
"7","86","13","true","7","0","44","true"
"8","86","13","true","8","0","44","true"
"9","84","13","true","9","0","44","true"
"10","84","13","true","10","0","44","true"
"11","82","13","true","11","0","44","true"
"12","82","13","true","12","0","44","true"
"13","81","13","true","13","0","44","true"
"14","81","13","true","14","0","44","true"
"15","80","13","true","15","0","44","true"
"16","80","13","true","16","0","44","true"
"17","79","13","true","17","0","44","true"
"18","79","13","true","18","0","44","true"
"19","79","13","true","19","0","44","true"
"20","79","13","true","20","0","44","true"
"21","79","13","true","21","0","44","true"
"22","79","13","true","22","0","44","true"
"23","79","13","true","23","0","44","true"
"24","79","13","true","24","0","44","true"
"25","79","13","true","25","0","44","true"
"26","79","13","true","26","0","44","true"
"27","79","13","true","27","0","44","true"
"28","79","13","true","28","0","44","true"
"29","79","13","true","29","0","44","true"
"30","79","13","true","30","0","44","true"
"31","79","13","true","31","0","44","true"
"32","79","13","true","32","0","44","true"
"33","79","13","true","33","0","44","true"
"34","79","13","true","34","0","44","true"
"35","80","13","true","35","0","44","true"
"36","80","13","true","36","0","44","true"
"37","81","13","true","37","0","44","true"
"38","81","13","true","38","0","44","true"
"39","82","13","true","39","0","44","true"
"40","82","13","true","40","0","44","true"
"41","83","13","true","41","0","44","true"
"42","83","13","true","42","0","44","true"
"43","84","13","true","43","0","44","true"
"44","84","13","true","44","0","44","true"
"45","85","13","true","45","0","44","true"
"46","85","13","true","46","0","44","true"
"47","86","13","true","47","0","44","true"
"48","86","13","true","48","0","44","true"
"49","87","13","true","49","0","44","true"
"50","87","13","true","50","0","44","true"
"51","88","13","true","51","0","44","true"
"52","88","13","true","52","0","44","true"
"53","89","13","true","53","0","44","true"
"54","89","13","true","54","0","44","true"
"55","90","13","true","55","0","44","true"
"56","90","13","true","56","0","44","true"
"57","91","13","true","57","0","44","true"
"58","91","13","true","58","0","44","true"
"59","92","13","true","59","0","44","true"
"60","92","13","true","60","0","44","true"
"61","93","13","true","61","0","44","true"
"62","93","13","true","62","0","44","true"
"63","94","13","true","63","0","44","true"
"64","94","13","true","64","0","44","true"
"65","95","13","true","65","0","44","true"
"66","95","13","true","66","0","44","true"
"67","96","13","true","67","0","44","true"
"68","96","13","true","68","0","44","true"
"69","97","13","true","69","0","44","true"
"70","97","13","true","70","0","44","true"
"71","98","13","true","71","0","44","true"
"72","98","13","true","72","0","44","true"
"73","99","13","true","73","0","44","true"
"74","99","13","true","74","0","44","true"
"75","100","13","true","75","0","44","true"
"76","100","13","true","76","0","44","true"
"77","101","13","true","77","0","44","true"
"78","101","13","true","78","0","44","true"
"79","102","13","true","79","0","44","true"
"80","102","13","true","80","0","44","true"
"81","103","13","true","81","0","44","true"
"82","103","13","true","82","0","44","true"
"83","104","13","true","83","0","44","true"
"84","104","13","true","84","0","44","true"
"85","105","13","true","85","0","44","true"
"86","105","13","true","86","0","44","true"
"87","106","13","true","87","0","44","true"
"88","106","13","true","88","0","44","true"
"89","107","13","true","89","0","44","true"
"90","107","13","true","90","0","44","true"
"91","108","13","true","91","0","44","true"
"92","108","13","true","92","0","44","true"
"93","109","13","true","93","0","44","true"
"94","109","13","true","94","0","44","true"
"95","110","13","true","95","0","44","true"
"96","110","13","true","96","0","44","true"
"97","111","13","true","97","0","44","true"
"98","111","13","true","98","0","44","true"
"99","112","13","true","99","0","44","true"
"100","112","13","true","100","0","44","true"
"101","113","13","true","101","0","44","true"
"102","113","13","true","102","0","44","true"
"103","114","13","true","103","0","44","true"
"104","114","13","true","104","0","44","true"
"105","115","13","true","105","0","44","true"
"106","115","13","true","106","0","44","true"
"107","116","13","true","107","0","44","true"
"108","116","13","true","108","0","44","true"
"109","117","13","true","109","0","44","true"
"110","117","13","true","110","0","44","true"
"111","118","13","true","111","0","44","true"
"112","118","13","true","112","0","44","true"
"113","119","13","true","113","0","44","true"
"114","119","13","true","114","0","44","true"
"115","120","13","true","115","0","44","true"
"116","120","13","true","116","0","44","true"
"117","121","13","true","117","0","44","true"
"118","121","13","true","118","0","44","true"
"119","122","13","true","119","0","44","true"
"120","122","13","true","120","0","44","true"
"121","123","13","true","121","0","44","true"
"122","123","13","true","122","0","44","true"
"123","124","13","true","123","0","44","true"
"124","124","13","true","124","0","44","true"
"125","125","13","true","125","0","44","true"
"126","125","13","true","126","0","44","true"
"127","127","13","true","127","0","44","true"
"128","127","13","true","128","0","44","true"
"129","129","13","true","129","0","44","true"
"130","129","13","true","130","0","44","true"
"131","131","13","true","131","0","44","true"
"132","131","13","true","132","0","44","true"
"133","133","13","true","133","0","44","true"
"134","133","13","true","134","0","44","true"
"135","135","13","true","135","0","44","true"
"136","135","13","true","136","0","44","true"
"137","137","13","true","137","0","44","true"
"138","137","13","true","138","0","44","true"
"139","139","13","true","139","0","44","true"
"140","139","13","true","140","0","44","true"
"141","141","13","true","141","0","44","true"
"142","141","13","true","142","0","44","true"
"143","143","13","true","143","0","44","true"
"144","143","13","true","144","0","44","true"
"145","145","13","true","145","0","44","true"
"146","145","13","true","146","0","44","true"
"147","147","13","true","147","0","44","true"
"148","147","13","true","148","0","44","true"
"149","149","13","true","149","0","44","true"
"150","149","13","true","150","0","44","true"
"151","151","13","true","151","0","44","true"
"152","151","13","true","152","0","44","true"
"153","153","13","true","153","0","44","true"
"154","153","13","true","154","0","44","true"
"155","155","13","true","155","0","44","true"
"156","155","13","true","156","0","44","true"
"157","157","13","true","157","0","44","true"
"158","157","13","true","158","0","44","true"
"159","159","13","true","159","0","44","true"
"160","159","13","true","160","0","44","true"
"161","161","13","true","161","0","44","true"
"162","161","13","true","162","0","44","true"
